_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,minDistance
5356199,2017-06-21 04:59:16.767,CA,ON,Toronto,43.65310,-79.48470,POI3,512.6849197821309
5434212,2017-06-21 18:06:40.567,CA,ON,Toronto,43.66820,-79.42090,POI3,507.33415703174444
5566316,2017-06-21 21:18:54.207,CA,ON,Toronto,43.66820,-79.42090,POI3,507.33415703174444
4610607,2017-06-21 15:04:54.873,CA,ON,Toronto,43.68910,-79.38570,POI3,503.770840779936
4964434,2017-06-21 17:31:54.160,CA,ON,Brampton,43.70287,-79.75283,POI3,529.8267503908804
4996222,2017-06-21 04:33:57.080,CA,ON,Toronto,43.70680,-79.39910,POI3,503.88566167041256
5610550,2017-06-21 14:22:38.097,CA,ON,Toronto,43.70680,-79.39910,POI3,503.88566167041256
5421002,2017-06-21 16:04:56.590,CA,ON,Toronto,43.72640,-79.39780,POI3,502.8517825792752
5163186,2017-06-21 03:45:14.933,CA,ON,Etobicoke,43.73390,-79.59234,POI3,516.6613571766437
4591433,2017-06-21 21:03:15.713,CA,ON,Toronto,43.75234,-79.35632,POI3,498.60422917834074
5468951,2017-06-21 08:10:26.113,CA,ON,Scarborough,43.76580,-79.18500,POI3,485.53407469358314
4803021,2017-06-21 00:19:07.110,CA,ON,North York,43.76770,-79.41260,POI3,501.9751567578868
4901804,2017-06-21 13:27:37.430,CA,ON,Thornhill,43.81370,-79.45380,POI3,502.8561914507137
5348207,2017-06-21 11:58:47.790,CA,ON,Markham,43.83410,-79.33020,POI3,492.8829046676489
5529203,2017-06-21 19:16:01.803,CA,ON,Scarborough,43.83591,-79.22765,POI3,485.31452310385123
4593258,2017-06-21 08:03:28.000,CA,ON,Thornhill,43.83950,-79.38310,POI3,496.5050362704423
5503689,2017-06-21 20:13:28.940,CA,ON,Markham,43.84120,-79.32620,POI3,492.264893193671
5111396,2017-06-21 12:41:48.113,CA,ON,Richmond Hill,43.84280,-79.42390,POI3,499.34371930108534
5008926,2017-06-21 08:34:36.653,CA,ON,Oshawa,43.91560,-78.86320,POI3,455.0716231992594
4871765,2017-06-21 02:25:02.793,CA,ON,Hanover,43.98430,-80.96660,POI3,608.8062180476528
5300772,2017-06-21 19:55:19.267,CA,ON,Aurora,44.00650,-79.45040,POI3,494.1848882996816
5411100,2017-06-21 10:04:14.450,CA,ON,Newmarket,44.05870,-79.45910,POI3,492.6879373564565
5183907,2017-06-21 03:46:29.643,CA,ON,Barrie,44.33030,-79.72680,POI3,502.80329334529085
5426067,2017-06-21 14:05:36.807,CA,ON,Lindsay,44.35700,-78.74050,POI3,427.4168732536628
5605517,2017-06-21 18:21:57.577,CA,ON,Wasaga Beach,44.45953,-80.09518,POI3,526.8587906972837
5096280,2017-06-21 10:40:45.117,CA,ON,Kanata,45.29750,-75.91990,POI3,185.48339966406908
5107738,2017-06-21 21:41:32.530,CA,ON,Ottawa,45.38040,-75.74680,POI3,170.88373439982962
5231916,2017-06-21 02:50:31.443,CA,ON,Toronto,7.29323,125.70220,POI1,11292.506517526574
5124061,2017-06-21 16:42:37.633,CA,QC,Vaudreuil-Dorion,45.38380,-74.04100,POI3,40.106785185318756
4950546,2017-06-21 09:31:12.307,CA,QC,Montréal,45.50200,-73.56200,POI3,2.20574477922836
4588389,2017-06-21 04:03:00.353,CA,QC,Saint-Laurent,45.50387,-73.68473,POI3,9.460972406636193
4709779,2017-06-21 18:12:25.850,CA,QC,Montréal,45.51171,-73.62826,POI3,4.974498844423695
5057344,2017-06-21 09:37:48.987,CA,QC,Laval,45.57770,-73.80710,POI3,19.786793298263987
5561978,2017-06-21 17:18:35.790,CA,SK,Saskatoon,52.10620,-106.66900,POI1,485.10316868574114
5603825,2017-06-21 08:21:42.850,CA,AB,Okotoks,50.73620,-113.96950,POI1,314.28984731668737
4690637,2017-06-21 20:10:45.800,CA,AB,Calgary,50.90584,-114.10872,POI1,296.73144168259176
5436689,2017-06-21 13:06:57.020,CA,AB,Calgary,50.93160,-114.09600,POI1,293.77045075002906
